City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nouadhibou,75,MR,1555470000,88,20.93,-17.03,62.6,19.46
Avarua,100,CK,1555468200,83,-21.21,-159.78,82.4,6.93
Baoshan,75,CN,1555471591,68,31.41,121.49,78.01,4.47
Buzdyak,0,RU,1555471612,52,54.57,54.53,22.01,16.96
Codrington,40,AU,1555471322,69,-28.95,153.24,75.2,12.75
Jamestown,90,AU,1555471613,14,-33.21,138.6,88.61,22.03
Atuona,98,PF,1555471613,73,-9.8,-139.03,82.85,11.01
Cape Town,0,ZA,1555471264,72,-33.93,18.42,60.01,10.29
Rikitea,26,PF,1555471613,82,-23.12,-134.97,77.81,10.47
Teguise,3,ES,1555470000,82,29.06,-13.56,62.6,3.36
Barrow,51,AR,1555471614,44,-38.31,-60.23,64.49,20.33
Ponta Delgada,40,PT,1555471575,76,37.73,-25.67,55,11.41
Cuenca,100,ES,1555471400,70,40.07,-2.13,50,18.12
Awjilah,0,LY,1555471614,69,29.14,21.3,58.19,7.92
Hilo,75,US,1555471578,73,19.71,-155.08,75.2,9.17
Tura,67,IN,1555471599,53,25.52,90.21,92.57,1.05
Fairbanks,75,US,1555471244,45,64.84,-147.72,46.4,16.11
Dikson,42,RU,1555471614,95,73.51,80.55,-5.89,0.85
Bluff,1,AU,1555471615,35,-23.58,149.07,82.49,10.56
Yar-Sale,89,RU,1555471615,94,66.83,70.83,-7.16,14.72
Bellavista,100,CO,1555471616,94,6.57,-76.89,76.37,2.33
Souillac,0,FR,1555471531,87,45.6,-0.6,51.01,6.93
Broome,97,GB,1555471580,93,52.47,1.45,44.6,3.36
Mar del Plata,0,AR,1555471616,36,-46.43,-67.52,52.61,13.6
Tiksi,0,RU,1555471616,80,71.64,128.87,1.67,8.75
Belaya Gora,72,RU,1555471617,84,68.54,146.19,29.75,13.35
Yellowknife,75,CA,1555471488,74,62.45,-114.38,28.4,10.29
Luangwa,100,MZ,1555471617,93,-15.62,30.4,70.79,1.92
Lovozero,90,RU,1555471617,87,68.01,35.02,31.91,4.41
Bredasdorp,98,ZA,1555470967,82,-34.53,20.04,57.2,4.45
Maxixe,20,MZ,1555470000,88,-23.86,35.35,73.4,3.36
Cabo San Lucas,75,MX,1555471219,72,22.89,-109.91,71.01,10.29
Puerto Ayora,57,EC,1555470936,93,-0.74,-90.35,80.01,6.42
Hasaki,75,JP,1555471028,52,35.73,140.83,68,12.75
Fortuna,0,ES,1555471587,93,38.18,-1.13,60.8,1.12
Hobart,0,AU,1555471575,24,-42.88,147.33,81,17.22
Kimbe,72,PG,1555471618,64,-5.56,150.15,88.61,1.88
Talnakh,40,RU,1555468200,83,69.49,88.39,-11.21,15.66
Ola,73,RU,1555471618,64,59.58,151.3,34.43,21.18
Agadez,0,NE,1555471353,10,16.97,7.99,72.77,9.78
Nainpur,99,IN,1555471619,63,22.43,80.11,75.11,0.83
San Quintin,27,PH,1555471619,45,17.54,120.52,91.13,8.16
Nikolskoye,12,RU,1555471671,86,59.7,30.79,35.01,2.24
Ushuaia,40,AR,1555466400,86,-54.81,-68.31,37.4,14.99
Bratsk,4,RU,1555471388,37,56.15,101.63,33.8,2.24
Along,29,IN,1555471679,53,28.17,94.8,67.55,3.47
Port Alfred,98,ZA,1555471597,92,-33.59,26.89,57,2.62
Juneau,75,US,1555471492,65,58.3,-134.42,46.4,5.82
Hobyo,31,SO,1555471680,73,5.35,48.53,80.87,9.08
Busselton,98,AU,1555471520,34,-33.64,115.35,70,4.23
Hermanus,85,ZA,1555471000,86,-34.42,19.24,57,16.35
Punta Arenas,75,CL,1555471388,86,-53.16,-70.91,39.2,4.7
Northam,100,GB,1555471629,94,51.04,-4.21,44.01,1.01
Butaritari,100,KI,1555471680,82,3.07,172.79,82.85,15.05
Kavieng,100,PG,1555471681,72,-2.57,150.8,83.57,9.08
Georgetown,75,GY,1555466400,83,6.8,-58.16,78.8,4.7
Ayni,98,TJ,1555471681,88,39.39,68.54,35.33,2.98
Luderitz,81,NA,1555466400,71,-26.65,15.16,53.6,3.36
Bethel,90,US,1555468320,73,60.79,-161.76,24.8,14.99
Orange Cove,2,US,1555471674,67,36.62,-119.31,64.4,5.82
Longyearbyen,75,NO,1555469400,86,78.22,15.63,33.8,21.92
Albany,90,US,1555471365,26,42.65,-73.75,48.2,9.17
Katsuura,75,JP,1555470665,52,33.93,134.5,64.4,4.7
Damietta,57,EG,1555471386,71,31.42,31.81,61.43,11.01
Airai,4,TL,1555471683,51,-8.93,125.41,86.99,3.49
Kapaa,75,US,1555471105,65,22.08,-159.32,78.8,12.75
Xuddur,61,SO,1555471508,81,4.12,43.89,76.19,15.48
Brainerd,1,US,1555471625,45,46.36,-94.2,50,3.36
Guayaramerin,100,BO,1555471683,96,-10.82,-65.36,74.75,1.83
Mataura,0,NZ,1555471205,77,-46.19,168.86,57.99,1.01
Yako,8,BF,1555471683,9,12.96,-2.26,87.71,9.13
Wodonga,10,AU,1555471524,36,-36.12,146.89,82,6.93
Sept-Iles,90,CA,1555471026,59,50.2,-66.38,35.01,16.11
Wenling,0,CN,1555471659,61,28.38,121.38,81,3
Saint-Philippe,75,CA,1555471533,52,45.36,-73.48,44.6,5.82
Acapulco,5,MX,1555469160,65,16.86,-99.88,78.8,10.29
Axim,95,GH,1555471684,83,4.87,-2.24,80.33,5.7
Yumen,53,CN,1555471684,23,40.29,97.04,68.09,24.25
Shimoda,75,JP,1555471511,55,34.7,138.93,66.99,12.75
Saint-Pierre,90,FR,1555471592,100,48.95,4.24,50,4.7
Kavaratti,40,IN,1555468200,74,10.57,72.64,86,6.93
Vila Franca do Campo,40,PT,1555471635,76,37.72,-25.43,55,11.41
Kisanga,100,CD,1555471685,95,-11.72,27.4,61.61,0.89
Vaini,0,IN,1555466400,83,15.34,74.49,73.4,3.96
Muzhi,2,RU,1555471686,79,65.4,64.7,3.47,10.98
Bandar,100,ID,1555471686,60,-4.2,104.14,88.79,1.74
Khatanga,67,RU,1555471746,93,71.98,102.47,-3.38,6.29
Oga,86,NG,1555471746,85,8.18,5.65,76.19,4.32
Aras,53,YE,1555471746,61,14.28,44.38,68.09,3.2
Flin Flon,26,CA,1555471630,89,54.77,-101.88,32.45,2.64
Ahipara,54,NZ,1555471747,60,-35.17,173.16,67.01,8.34
Havre-Saint-Pierre,75,CA,1555470000,59,50.23,-63.6,35.6,24.16
Batangafo,100,CF,1555471747,74,7.3,18.29,79.07,5.35
Qaanaaq,99,GL,1555471739,99,77.48,-69.36,-14.53,4.74
Castro,75,CL,1555470000,87,-42.48,-73.76,48.2,12.75
Husavik,88,CA,1555471486,63,50.56,-96.99,45,6.08
Ambilobe,45,MG,1555471748,92,-13.19,49.05,74.21,4.21
Saint George,40,GR,1555469400,93,39.45,22.34,46.4,2.68
Soyo,100,AO,1555471748,83,-6.13,12.37,82.13,7.31
Kerema,13,PG,1555471748,64,-7.96,145.78,86.09,9.44
Dhidhdhoo,97,MV,1555471748,66,6.88,73.1,85.73,5.64
Namuac,51,PH,1555471749,63,18.61,121.17,83.93,4.16
Cidreira,9,BR,1555471749,77,-30.17,-50.22,67.55,11.23
Homer,20,US,1555471632,61,59.64,-151.54,46.99,9.17
Lata,100,IN,1555471749,78,30.78,78.62,28.13,4.61
West Plains,1,US,1555471682,55,36.73,-91.85,66.2,10.29
La Ronge,20,CA,1555470000,59,55.1,-105.3,37.4,5.82
Alofi,100,NU,1555470000,88,-19.06,-169.92,80.6,6.93
Upernavik,100,GL,1555471626,90,72.79,-56.15,8.33,1.36
Mnogovershinnyy,0,RU,1555471749,58,53.94,139.92,34.43,22.1
Bambous Virieux,40,MU,1555471744,88,-20.34,57.76,77,5.82
Claveria,1,PH,1555470996,76,8.61,124.89,84,8.01
Zhezkazgan,0,KZ,1555470000,56,47.8,67.71,42.8,4.47
Ler,0,NO,1555471473,59,63.2,10.3,46.4,17.22
Xining,0,CN,1555471750,11,36.62,101.77,59.63,1.79
Norman Wells,20,CA,1555470000,63,65.28,-126.83,30.2,11.41
New Norfolk,0,AU,1555471695,27,-42.78,147.06,81,18.34
Sur,0,OM,1555471751,36,22.57,59.53,80.87,7.74
Ribeira Grande,21,PT,1555471751,69,38.52,-28.7,58.19,16.75
Ust-Tsilma,100,RU,1555471751,89,65.44,52.15,13.01,4.43
Berea,90,US,1555471742,76,41.37,-81.85,64.4,3.36
Kalmunai,100,LK,1555471751,68,7.42,81.82,85.19,3.02
Tasiilaq,91,GL,1555469400,86,65.61,-37.64,33.8,3.36
Leningradskiy,5,RU,1555471752,88,69.38,178.42,8.33,5.06
Mayumba,100,GA,1555471752,78,-3.44,10.65,81.05,3.06
Victoria,75,BN,1555470000,74,5.28,115.24,87.8,6.93
Coquimbo,90,CL,1555470000,93,-29.95,-71.34,55.4,2.24
Havelock,1,US,1555471717,72,34.88,-76.9,62.01,10.29
Sungaipenuh,100,ID,1555471813,53,-2.08,101.38,88.07,1.63
Iqaluit,5,CA,1555471363,64,63.75,-68.52,-2.01,18.34
Port Elizabeth,75,US,1555471811,50,39.31,-74.98,59,4.7
Taoudenni,100,ML,1555471813,5,22.68,-3.98,79.61,7.52
Comodoro Rivadavia,0,AR,1555470000,54,-45.87,-67.48,57.2,14.99
Pandamatenga,1,BW,1555471814,82,-18.54,25.64,66.29,5.32
Half Moon Bay,1,US,1555471810,87,37.46,-122.43,60.01,17.22
Saldanha,99,PT,1555471814,63,41.42,-6.55,51.17,7.07
Nago,0,IT,1555471812,87,45.88,10.89,50,1.12
Udachnyy,0,RU,1555470000,44,66.42,112.4,21.2,4.47
Nanning,75,CN,1555470000,73,22.83,108.3,73.4,4.47
Ribeira Brava,75,PT,1555471412,82,32.65,-17.07,57.99,2.24
Santa Maria,90,BR,1555466400,88,-29.69,-53.81,64.4,3.36
Ponta do Sol,90,BR,1555471817,97,-20.63,-46,64.85,1.72
Vila,0,IT,1555471813,87,45.18,8.4,52,5.82
Pisco,0,PE,1555471060,73,-13.71,-76.2,71.6,4.7
Srednekolymsk,21,RU,1555471817,78,67.46,153.71,30.29,11.7
Kuryk,100,KZ,1555471818,45,43.18,51.68,65.21,12.84
Chelmza,0,PL,1555471744,64,53.18,18.6,43,3.36
Chokurdakh,0,RU,1555471818,88,70.62,147.9,14.45,9.42
Nanortalik,0,GL,1555471818,91,60.14,-45.24,31.55,4.63
Carnarvon,100,ZA,1555471598,27,-30.97,22.13,57.11,5.12
Staraya Kulatka,0,RU,1555471818,60,52.73,47.62,29.03,17.43
Kaitangata,0,NZ,1555471806,75,-46.28,169.85,52,10
Vardo,1,US,1555471815,54,39.62,-77.74,60.8,6.93
Geraldton,75,CA,1555470000,69,49.72,-86.95,35.6,5.82
Tuatapere,0,NZ,1555471808,77,-46.13,167.69,57.99,5.77
Bathsheba,20,BB,1555470000,69,13.22,-59.52,78.8,14.99
Vulcan,93,CA,1555471683,35,50.4,-113.26,46.99,1.01
Ferme-Neuve,1,CA,1555471819,92,46.7,-75.45,30.29,3.44
Odessa,23,US,1555470946,72,31.85,-102.37,68,13.87
Beatrice,1,US,1555471819,64,40.27,-96.75,71.6,4.7
Hoquiam,90,US,1555471672,100,46.98,-123.89,50,9.17
Adre,0,TD,1555471820,20,13.47,22.2,79.25,12.41
Viedma,67,AR,1555471820,37,-40.81,-62.99,69.35,15.5
Cooma,0,AU,1555470000,40,-36.24,149.13,71.6,14.99
Florianopolis,20,BR,1555471803,83,-27.6,-48.55,69.8,2.24
Santiago de Cao,40,PE,1555470000,88,-7.96,-79.24,68,8.05
Tiznit,0,MA,1555471820,90,29.7,-9.73,62.69,8.23
Vila Velha,75,BR,1555471695,88,-3.71,-38.6,77,3.36
Conroe,90,US,1555471541,88,30.31,-95.46,72,9.17
Eureka,90,US,1555471794,81,40.8,-124.16,54,9.17
Pathankot,100,IN,1555471821,57,32.27,75.65,68.27,4.45
Torbay,90,CA,1555471711,94,47.66,-52.73,35.01,16.11
